prototype_index,closest_text
0,"""i began to have heavy periods when i was very young, it was a nightmare to manage at school, because i had to sit through classes for a whole hour and afterwards would have to carefully waddle to the bathroom to change my pad! the first medication the doctors gave was the pill, a year on that and i had gained 1.5 stone and the periods were still too heavy. i came off the pill, lost the weight and began to take tranexamic acid. i think i have been using it for around 4 years now. i take 2 tablets 3 times a day for the first 3/4 days of my period. the change in flow is dramatic and i really couldn't manage without them :)"""
1,"""pros
-completely clear skin after 4 months 
-during treatment my hair got much less greasy and barely needed washing. however this stopped after i finished my course

cons
-dry skin everywhere, although was manageable with a lot of moisturiser and lip balm
-eczema on arms, back of knees, and hands
-severe back pain lasting the whole duration of the course, couldn't be helped by physiotherapy
-(the worst side effect) irritable bowel syndrome. severe pain while passing stools (to the extent of crying), constipation and blood when i wiped. was severely debilitating and made me afraid of going to the loo for 4 months

summary 
- despite the awful side effects, i do not at all regret taking roaccutane even though i only had mild-moderate acne"""
2,"""about 5 years ago my doctor prescribed amerge and i have used it ever since.  i have been a migraine sufferer for the past 15 years and this is the medication that works the best for me.  2 years ago my health insurance decided to no longer cover the medication and i had to try to find another.  it was awful.  i did not realize how much more effective amerge was than the other medicines.  i highly recommend this product."""
3,"""pros
-completely clear skin after 4 months 
-during treatment my hair got much less greasy and barely needed washing. however this stopped after i finished my course

cons
-dry skin everywhere, although was manageable with a lot of moisturiser and lip balm
-eczema on arms, back of knees, and hands
-severe back pain lasting the whole duration of the course, couldn't be helped by physiotherapy
-(the worst side effect) irritable bowel syndrome. severe pain while passing stools (to the extent of crying), constipation and blood when i wiped. was severely debilitating and made me afraid of going to the loo for 4 months

summary 
- despite the awful side effects, i do not at all regret taking roaccutane even though i only had mild-moderate acne"""
4,"""i switched from microgestin fe 20, which was good, but my body got used to it and i started getting abnormal periods. 
switched to this, did not gain weight, so far it's been a smooth transition. the only thing that i do not like is that i get a lot of nausea while i'm on my period. i hope with time it'll go away. other than that it's a good form of bc."""
5,"""i am 61 years old, diagnosed high blood pressure when 18 years old.  i was 6'1""  when 18 and weighed 175, 29"" pant size with 44 coat size.  have taken drugs for over 40 years trying to keep blood pressure in the 150 over 100 range. (vasotec, lotril, and others).  started  azor (lowest dose available), 2 years ago and have never had a  reading over 120/80!  no side effects for me and i feel great."""
6,"""i am 61 years old, diagnosed high blood pressure when 18 years old.  i was 6'1""  when 18 and weighed 175, 29"" pant size with 44 coat size.  have taken drugs for over 40 years trying to keep blood pressure in the 150 over 100 range. (vasotec, lotril, and others).  started  azor (lowest dose available), 2 years ago and have never had a  reading over 120/80!  no side effects for me and i feel great."""
7,"""""a mild increase of vaginal burning, itching, or irritation may occur-."" first off let me tell you that this statement is complete rubbish. never have i felt the flames of hades in my nether regions before, nor the horrific itch of a mosquito plague accompanying it. i read that the itching subsides as the treatment wears on so i will tough it out. however that does not stop my desire to punch the creators in the face."""
8,"""i hear a lot of people saying the same thing about this being sort of like a miracle drug that is what my psychiatrist and dr call to.
 it is quite amazing how you can be going through a full blown panic anxiety attack and just not too long after taking xanax. it's like night and day.
 it's definitely good to have one of these on hand if you suffer from anxiety or panic disorder. sometimes just knowing i have it and helps me. anyway 10 out of 10 very addictive but definitely works. as long as you're not popping them every couple hours i think most people on here will find that it works great.."""
9,"""i've been on loestrin 24 fe for 10 months. so far...
- no weight gain 
- light periods (2-3 days), occasionally no period
- fewer acne
- decreased my sex drive a little (i had crazy sex drive, so it's a good thing to me)
- does its job when it comes to protection, no pregnancy. 
- no mood swing

sometimes it takes a bit of work to find a pill that will work with your body. in my case, loestrin 24fe works fine with me. i'm a very petite person that's about 4'11 and 90 lb."""
10,"""i hear a lot of people saying the same thing about this being sort of like a miracle drug that is what my psychiatrist and dr call to.
 it is quite amazing how you can be going through a full blown panic anxiety attack and just not too long after taking xanax. it's like night and day.
 it's definitely good to have one of these on hand if you suffer from anxiety or panic disorder. sometimes just knowing i have it and helps me. anyway 10 out of 10 very addictive but definitely works. as long as you're not popping them every couple hours i think most people on here will find that it works great.."""
11,"""i switched from microgestin fe 20, which was good, but my body got used to it and i started getting abnormal periods. 
switched to this, did not gain weight, so far it's been a smooth transition. the only thing that i do not like is that i get a lot of nausea while i'm on my period. i hope with time it'll go away. other than that it's a good form of bc."""
12,"""sertraline is the best thing to help anxiety i’ve suffered for 10 years without knowing i had anxiety i would buy all different kind of over the counter medication and herman remedy’s and nothing worked thought i had ibs i didn’t, then i  thought i had a brain tumour with all headaches and i didn’t. my anxiety and stress made me worry more about my health until i went doctors they prescribed sertraline. i’ve only been taking them a month and while the first 2 weeks was horrible while they got into my system i feel the best i’ve ever felt.  i have more energy, less headaches, minimal worry about every day things. sertraline is fantastic. i’m on 100mg and feel great. if anyone who has anxiety i strongly recommend that that try this medication"""
13,"""pros
-completely clear skin after 4 months 
-during treatment my hair got much less greasy and barely needed washing. however this stopped after i finished my course

cons
-dry skin everywhere, although was manageable with a lot of moisturiser and lip balm
-eczema on arms, back of knees, and hands
-severe back pain lasting the whole duration of the course, couldn't be helped by physiotherapy
-(the worst side effect) irritable bowel syndrome. severe pain while passing stools (to the extent of crying), constipation and blood when i wiped. was severely debilitating and made me afraid of going to the loo for 4 months

summary 
- despite the awful side effects, i do not at all regret taking roaccutane even though i only had mild-moderate acne"""
14,"""pros
-completely clear skin after 4 months 
-during treatment my hair got much less greasy and barely needed washing. however this stopped after i finished my course

cons
-dry skin everywhere, although was manageable with a lot of moisturiser and lip balm
-eczema on arms, back of knees, and hands
-severe back pain lasting the whole duration of the course, couldn't be helped by physiotherapy
-(the worst side effect) irritable bowel syndrome. severe pain while passing stools (to the extent of crying), constipation and blood when i wiped. was severely debilitating and made me afraid of going to the loo for 4 months

summary 
- despite the awful side effects, i do not at all regret taking roaccutane even though i only had mild-moderate acne"""
15,"""got my inserted bout 10 years ago !! worked magic for me! no problems no pain period flow normally . and yes i will leave it there for another 3-4 more years. totalling 13-14 years."""
16,"""i got this about 2 weeks ago, and it works amazingly. my acne is completely gone. only thing is if you miss a treatment your acne will come back right away. you have to be very committed"""
17,"""took this for cough last night and made my stomach hurt almost instantly then woke up to horrible loose stools and stomach cramps it has been 24 hours and i am still in pain. it may have helped the cough slightly but this is way worse!"""
18,"""day 4.
i have already noticed changes.
pros:
- no desire to cry
- clear headed thought process
- no mood swings/feel balanced(have not had any mood swings since day 2. i usually had them like 4x within an hr)
- no angry outbursts or negative/hurtful comments towards people
- decrease in paranoia
- no longer feeling personally attacked by others
cons:
- trouble sleeping 
- teensy bit jittery 
- itchy(not much)
- definitely nauseous 
- trouble passing stool but not constipated 
- slight lightheadedness/ dizziness 
this is only day4 going on 5 so i am thinking my brain&body need time to adjust &balance out. so far i feel mentally, so much better. in control,i would say. only odd thing i noticed was random laughing. but hey i'm not complaining!"""
19,"""astelin is the only prescription antihistamine nasal spray approved to treat symptoms caused by both seasonal allergens and environmental irritants.


astelin provides relief from bothersome nasal symptoms such as congestion, itchy/runny nose, sneezing and postnasal drip due to seasonal allergens or environmental irritants.

astelin is steroid-free and does not contain pseudoephedrine."""
20,"""astelin is the only prescription antihistamine nasal spray approved to treat symptoms caused by both seasonal allergens and environmental irritants.


astelin provides relief from bothersome nasal symptoms such as congestion, itchy/runny nose, sneezing and postnasal drip due to seasonal allergens or environmental irritants.

astelin is steroid-free and does not contain pseudoephedrine."""
